"Gene","Presence"
"AIPGENE12005",0
"AIPGENE12006",0
"AIPGENE12008",0
"AIPGENE1201",0
"AIPGENE12010",0
"AIPGENE12012",0
"AIPGENE12013",0
"AIPGENE12014",0
"AIPGENE12015",0
"AIPGENE12017",0
"AIPGENE12018",0
"AIPGENE1202",0
"AIPGENE12020",0
"AIPGENE12021",0
"AIPGENE12023",0
"AIPGENE12028",0
"AIPGENE12029",0
"AIPGENE1203",0
"AIPGENE12030",0
"AIPGENE12031",0
"AIPGENE12032",0
"AIPGENE12033",0
"AIPGENE12035",0
"AIPGENE12036",0
"AIPGENE12037",0
"AIPGENE12038",0
"AIPGENE12039",0
"AIPGENE1204",0
"AIPGENE12042",0
"AIPGENE12043",0
"AIPGENE12049",0
"AIPGENE12051",0
"AIPGENE12052",0
"AIPGENE12053",0
"AIPGENE12054",0
"AIPGENE12055",0
"AIPGENE12057",0
"AIPGENE12058",0
"AIPGENE1206",0
"AIPGENE12060",0
"AIPGENE12067",0
"AIPGENE12068",0
"AIPGENE12070",0
"AIPGENE12073",0
"AIPGENE12074",0
"AIPGENE12075",0
"AIPGENE12076",0
"AIPGENE12077",0
"AIPGENE12078",0
"AIPGENE12079",0
"AIPGENE12082",0
"AIPGENE12083",0
"AIPGENE12085",0
"AIPGENE12086",0
"AIPGENE12087",0
"AIPGENE12089",0
"AIPGENE12090",0
"AIPGENE12093",0
"AIPGENE12094",0
"AIPGENE12097",0
"AIPGENE12098",0
"AIPGENE12099",0
"AIPGENE121",0
"AIPGENE1210",0
"AIPGENE12101",0
"AIPGENE12102",0
"AIPGENE12103",0
"AIPGENE12104",0
"AIPGENE12106",0
"AIPGENE12108",0
"AIPGENE1211",0
"AIPGENE12114",0
"AIPGENE12116",0
"AIPGENE12117",0
"AIPGENE1212",0
"AIPGENE12121",0
"AIPGENE12125",0
"AIPGENE12126",0
"AIPGENE12127",0
"AIPGENE12128",0
"AIPGENE12129",0
"AIPGENE1213",0
"AIPGENE12131",0
"AIPGENE12133",0
"AIPGENE12134",0
"AIPGENE12136",0
"AIPGENE12137",0
"AIPGENE12138",0
"AIPGENE12144",0
"AIPGENE12145",0
"AIPGENE12147",0
"AIPGENE12150",0
"AIPGENE12151",0
"AIPGENE12152",0
"AIPGENE12155",0
"AIPGENE1216",0
"AIPGENE12161",0
"AIPGENE12162",0
"AIPGENE12163",0
"AIPGENE12164",0
"AIPGENE12165",0
"AIPGENE12166",0
"AIPGENE12167",0
"AIPGENE12169",0
"AIPGENE12171",0
"AIPGENE12173",0
"AIPGENE12174",0
"AIPGENE12176",0
"AIPGENE12179",0
"AIPGENE1218",0
"AIPGENE12180",0
"AIPGENE12181",0
"AIPGENE12184",0
"AIPGENE12185",0
"AIPGENE12189",0
"AIPGENE1219",0
"AIPGENE12191",0
"AIPGENE12194",0
"AIPGENE12195",0
"AIPGENE12197",0
"AIPGENE12198",0
"AIPGENE12199",0
"AIPGENE122",0
"AIPGENE12222",0
"AIPGENE12232",0
"AIPGENE12237",0
"AIPGENE12239",0
"AIPGENE12241",0
"AIPGENE12244",0
"AIPGENE1225",0
"AIPGENE12251",0
"AIPGENE12252",0
"AIPGENE12254",0
"AIPGENE12258",0
"AIPGENE12265",0
"AIPGENE12269",0
"AIPGENE12270",0
"AIPGENE1228",0
"AIPGENE12283",0
"AIPGENE12285",0
"AIPGENE1229",0
"AIPGENE12294",0
"AIPGENE12296",0
"AIPGENE12299",0
"AIPGENE123",0
"AIPGENE1230",0
"AIPGENE12301",0
"AIPGENE12302",0
"AIPGENE12303",0
"AIPGENE12307",0
"AIPGENE12308",0
"AIPGENE1231",0
"AIPGENE12311",0
"AIPGENE12312",0
"AIPGENE12313",0
"AIPGENE12314",0
"AIPGENE12315",0
"AIPGENE12316",0
"AIPGENE1232",0
"AIPGENE12321",0
"AIPGENE12322",0
"AIPGENE12323",0
"AIPGENE12325",0
"AIPGENE12329",0
"AIPGENE1233",0
"AIPGENE12330",0
"AIPGENE12331",0
"AIPGENE12332",0
"AIPGENE12333",0
"AIPGENE12337",0
"AIPGENE12339",0
"AIPGENE12342",0
"AIPGENE12343",0
"AIPGENE12351",0
"AIPGENE12359",0
"AIPGENE1236",0
"AIPGENE12360",0
"AIPGENE12361",0
"AIPGENE12362",0
"AIPGENE12367",0
"AIPGENE12368",0
"AIPGENE12375",0
"AIPGENE12376",0
"AIPGENE12377",0
"AIPGENE12383",0
"AIPGENE12387",0
"AIPGENE12388",0
"AIPGENE12389",0
"AIPGENE1239",0
"AIPGENE12391",0
"AIPGENE12392",0
"AIPGENE12394",0
"AIPGENE12398",0
"AIPGENE12413",0
"AIPGENE12419",0
"AIPGENE1242",0
"AIPGENE12427",0
"AIPGENE12431",0
"AIPGENE12432",0
"AIPGENE12437",0
"AIPGENE1244",0
"AIPGENE12440",0
"AIPGENE12441",0
"AIPGENE12443",0
"AIPGENE12460",0
"AIPGENE12461",0
"AIPGENE12462",0
"AIPGENE12465",0
"AIPGENE12469",0
"AIPGENE12475",0
"AIPGENE12476",0
"AIPGENE12477",0
"AIPGENE12478",0
"AIPGENE12479",0
"AIPGENE12480",0
"AIPGENE12482",0
"AIPGENE12484",0
"AIPGENE12489",0
"AIPGENE12491",0
"AIPGENE12492",0
"AIPGENE12495",0
"AIPGENE12496",0
"AIPGENE12497",0
"AIPGENE12498",0
"AIPGENE12500",0
"AIPGENE12501",0
"AIPGENE12505",0
"AIPGENE12506",0
"AIPGENE12509",0
"AIPGENE12511",0
"AIPGENE12514",0
"AIPGENE12516",0
"AIPGENE12517",0
"AIPGENE12524",0
"AIPGENE12526",0
"AIPGENE12535",0
"AIPGENE12538",0
"AIPGENE1254",0
