"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.974327636120669 4 361 "GO:0005975" "carbohydrate metabolic process" 1
0 0.947343136334282 2 45 "GO:0005976" "polysaccharide metabolic process" 1
0 0.999703474620563 2 77 "GO:0005996;GO:0019318" "monosaccharide metabolic process" 1
0 0.992907703072604 6 47 "GO:0006006" "glucose metabolic process" 1
0 1 5 16 "GO:0006007" "glucose catabolic process" 1
0 0.983434361178304 2 58 "GO:0006022" "aminoglycan metabolic process" 1
0 1 2 19 "GO:0006023;GO:0006024" "aminoglycan biosynthetic process" 1
0 0.935032788652394 2 26 "GO:0006026" "aminoglycan catabolic process" 1
0 0.716528200496245 2 12 "GO:0006027" "glycosaminoglycan catabolic process" 1
0 0.890015061993351 3 21 "GO:0006029" "proteoglycan metabolic process" 1
0 1 2 27 "GO:0006030" "chitin metabolic process" 1
0 1 2 37 "GO:0006040;GO:1901071" "amino sugar metabolic process" 1
0 0.996169278084762 4 184 "GO:0006066;GO:1901615" "obsolete organic hydroxy compound metabolic process" 1
0 0.716528200496245 2 12 "GO:0006071;GO:0019400" "obsolete alditol metabolic process" 1
0 1 2 21 "GO:0006081" "aldehyde metabolic process" 1
0 0.999999550405515 3 463 "GO:0006082;GO:0019752;GO:0043436" "organic acid metabolic process" 1
0 1 5 12 "GO:0006084" "acetyl-CoA metabolic process" 1
0 0.747426747622349 8 26 "GO:0006090" "pyruvate metabolic process" 1
0 0.986310991673969 2 77 "GO:0006091" "generation of precursor metabolites and energy" 1
0 0.910896364682313 5 23 "GO:0006096;GO:0019364;GO:0046032;GO:0072526;GO:0009181;GO:0009137;GO:0009191;GO:0009134" "ribonucleoside diphosphate catabolic process" 1
0 1 2 11 "GO:0006098;GO:0006740;GO:0051156" "glucose 6-phosphate metabolic process" 1
0 0.350079292729284 4 30 "GO:0006099" "tricarboxylic acid cycle" 0.855698996606423
0 0.28653197606315 6 36 "GO:0006109;GO:0010675" "regulation of carbohydrate metabolic process" 0.819220967926006
0 0.9278171716897 4 25 "GO:0006112;GO:0005977;GO:0044042;GO:0006073" "energy reserve metabolic process" 1
0 0.32107612591989 2 20 "GO:0006144" "purine nucleobase metabolic process" 0.85213874769456
