,MMblack,MMgreen,MMturquoise,MMyellow,MMpurple,MMred,MMmagenta,MMpink,MMblue,MMbrown
AIPGENE22301,-0.0378822159140019,-0.134245406959547,-0.26038954423342,-0.150963537034681,-0.0798978744869626,0.00403820018706285,-0.0899898220484642,0.131060972803981,0.21242565825734,0.367575487453118
AIPGENE22302,-0.136783087040112,0.269280439229874,0.446137085153235,0.373190415718516,0.318470520600981,-0.0215259326840022,-0.0550605547432358,-0.41680213998005,-0.521755136862015,-0.0545526282559131
AIPGENE22303,0.0902584040451658,-0.422871866074077,-0.696126554574287,-0.294333421806087,-0.330492385390287,0.219169295467024,-0.178126950906712,0.292799383989032,0.736892487166247,0.274768782040396
AIPGENE22305,-0.044514394271811,-0.114525456008291,-0.198862857478372,-0.137972881342754,-0.188592213837875,-0.190114830321413,0.147342649031839,0.245625659378159,0.111172775310289,0.512269733966577
AIPGENE22306,-0.00531589590452105,0.311568308170608,0.500577712772332,0.104787740538256,0.105615978296513,-0.175605044792352,0.117684514820676,-0.194277999249713,-0.52163282001776,-0.200329678323078
AIPGENE22307,-0.164633437814124,-0.210667528091084,0.173092509515929,0.240386883644782,0.0677867642728022,-0.0360262462211115,0.168217876785994,0.0594246897985437,-0.122158287104893,-0.208274311323465
AIPGENE22308,0.166309514873995,-0.24780704125821,-0.155367048201103,-0.332585107619766,-0.345882863659436,-0.199206684809904,0.0678886528724211,0.172483422995761,0.153771992136248,0.283714024895771
AIPGENE22312,0.216371140436027,-0.20519230005917,-0.184794539314186,-0.16667425174282,-0.0952575554476897,0.129228020932193,-0.215953669231249,0.0107833701852564,0.295526814384427,-0.188796015705878
AIPGENE22315,-0.0734504724217407,-0.346874783303319,-0.533056897987774,-0.0104316851945566,0.0178073499737556,0.439380177414317,-0.217407981220224,0.23043007358242,0.616786030196973,-0.0734956137888183
AIPGENE22316,0.0272551365600328,-0.394839388299152,-0.0905009824526223,-0.0537375981257275,-0.102479300258839,-0.00700752298929871,-0.138983399270516,-0.0360089923822373,0.109622907136151,0.0812385381644892
AIPGENE22317,-0.0366659551637763,0.435047791805996,0.335989311568165,0.146944748090297,0.00192325263587149,-0.278851260630523,0.196547243702417,-0.0304381789568628,-0.401322406689172,-0.0150915321533688
AIPGENE22318,0.0735496373023048,0.291655869890911,0.622997914171721,0.0512394322652018,-0.103223386076138,-0.443932586549301,0.472238809926572,0.0667836587444272,-0.565892776600963,-0.420362970925969
AIPGENE22319,-0.6026385262333,-0.176171183119301,-0.0910666922292966,0.556346879050947,0.512943355239048,0.337341737516203,0.176369811709482,0.193894969873231,-0.0290037745018059,0.0672390376853411
AIPGENE22320,-0.0708439726361656,-0.485473971339435,-0.349876934909244,0.0549935748789859,-0.0995126976462512,0.171220484599032,0.0478624766964001,0.25665329300334,0.401684058992597,0.0168759585606279
AIPGENE22322,0.2332603131098,0.15783876593753,0.318581363397805,-0.0243537531747819,-0.100930612452246,-0.233713029909507,-0.0132618385786269,-0.23430958497827,-0.245157281083067,-0.225999405753215
AIPGENE22324,0.0135497105528132,-0.0892721782981274,0.23704456931361,0.0707793365257261,-0.0761136815023882,-0.254078902552995,0.247185450148374,0.00743328166486258,-0.260432259268195,-0.0549712687899727
AIPGENE22326,-0.103273571300139,-0.187473181924304,0.246032254403154,0.361492547367313,-0.0723147109752265,-0.141132319831567,0.276921643482358,0.0706089700092338,-0.112453955738591,-0.416038616628633
AIPGENE22328,0.412160380684607,-0.18453437980401,-0.04261656981767,-0.414810030064998,-0.405905927887926,-0.342126174626599,0.054310369098887,0.111236199435597,0.116068945937283,0.0595851219688283
AIPGENE22329,0.0151486011050086,0.234552767754385,0.550018855125218,0.0955988082972423,0.0311875002195034,-0.268961721869746,0.270970780030674,-0.18267578275783,-0.527879005444831,-0.27499851574487
AIPGENE22330,-0.363317827427271,0.407605704582392,0.395259364942455,0.597394967506607,0.352251351836037,0.0679511718893067,0.202328940119889,-0.150448052056499,-0.464001393407953,-0.287829777891417
AIPGENE22333,0.16037371465696,-0.267864972528222,-0.118695779818602,-0.0600821496271581,-0.127131331037742,0.104179923120302,-0.159476900768448,-0.0471667450888777,0.199660796310879,-0.183740282400594
AIPGENE22334,0.179688056585421,-0.278487572541589,-0.204966064772892,-0.378878890175616,-0.395972142638432,-0.261987030943266,0.0840613316862585,0.188304386500717,0.210507813906036,0.377579338538744
AIPGENE22335,0.147211880328732,0.236781266970542,0.54415085207935,0.142321564244737,-0.034137931446478,-0.262061788747995,0.179609238043633,-0.180958198802518,-0.464209338358509,-0.469280388926293
AIPGENE22336,0.650796035413785,0.0137258786941201,-0.410448694047429,-0.730602778430655,-0.437423168125801,-0.15001149983553,-0.358194049948473,-0.0259485753850422,0.422135954162595,0.338797176525882
AIPGENE22337,-0.138816533623634,-0.309732393305127,-0.0570388265192753,0.16918957180916,0.153179220014575,0.323251980025278,-0.00271734409030632,-0.0176533469950014,0.112039448814437,-0.268815244781815
AIPGENE22338,-0.0282881663165,0.215571069359955,-0.22971446692727,-0.094215798188242,-0.0454427620377467,0.00308343602381895,-0.0994062783351494,0.0204864008929171,0.13094147599979,0.305664814550825
AIPGENE22339,-0.212109912949955,-0.326417648558421,-0.399710070025247,0.0129779770771019,0.24617031921565,0.419953222689539,-0.23973515341925,0.0321306259458666,0.394930103302927,0.12198217372315
AIPGENE2234,0.0816031937965711,-0.510287453268802,-0.0941588860581257,-0.0618627838850525,-0.299783320429042,-0.126548191509896,0.103098129083215,0.219787311085144,0.214742319994344,-0.143186224117541
AIPGENE22340,-0.134561702670126,0.248257428479939,-0.0578250063654455,-0.143021858874197,0.0513716550578083,0.0325641923504761,0.101122809700256,0.210374924441124,-0.0184938416527399,0.132400657251943
AIPGENE22341,-0.037439197958032,-0.0195933969561523,0.337957981028259,0.423045462266942,0.0606505205899777,-0.0677324128630951,0.0828928703299574,-0.162552460559024,-0.281926697583076,-0.447992226489417
AIPGENE22342,0.256970419232947,-0.305021711799546,-0.457430928164438,-0.586428063618393,-0.646385093588588,-0.27735653782305,0.192749614573005,0.559439484017636,0.512241547127958,0.296616582347339
AIPGENE22343,-0.11837890796057,0.477845366590033,0.891827438426412,0.413999996533552,0.304735127608309,-0.239075272321726,0.255627846972332,-0.376871913585272,-0.889742891473629,-0.484411917229314
AIPGENE22345,-0.0982206604071534,-0.0538160759313762,0.441264641358471,0.303793625455613,0.0479460628611096,-0.107609331938507,0.246443378670987,-0.0719079819308135,-0.382349660306449,-0.390931782008167
